frame,timestamp,yolo_detected,skeleton_extracted,skeleton_normalized,buffer_size,fall_probability,status
300,10.34,False,False,False,30,0.0,NORMAL
301,10.38,True,True,True,30,4.1,NORMAL
302,10.41,True,True,True,30,3.4,NORMAL
303,10.45,True,True,True,30,3.8,NORMAL
304,10.48,True,True,True,30,3.4,NORMAL
305,10.52,True,True,True,30,2.8,NORMAL
306,10.55,True,True,True,30,2.4,NORMAL
307,10.59,True,True,True,30,2.6,NORMAL
308,10.62,True,True,True,30,3.3,NORMAL
309,10.66,True,True,True,30,3.5,NORMAL
310,10.69,True,True,True,30,15.5,NORMAL
311,10.72,True,True,True,30,3.1,NORMAL
312,10.76,True,True,True,30,3.1,NORMAL
313,10.79,True,True,True,30,4.1,NORMAL
314,10.83,True,False,False,30,0.0,NORMAL
315,10.86,True,True,True,30,17.9,NORMAL
316,10.90,True,True,True,30,61.8,FALL
317,10.93,True,True,True,30,45.3,NORMAL
318,10.97,True,True,True,30,38.2,NORMAL
319,11.00,True,True,True,30,86.7,FALL
320,11.03,True,True,True,30,94.8,FALL
321,11.07,True,True,True,30,92.8,FALL
322,11.10,True,True,True,30,93.1,FALL
323,11.14,True,True,True,30,98.5,FALL
324,11.17,True,True,True,30,86.3,FALL
325,11.21,True,True,True,30,83.3,FALL
326,11.24,True,True,True,30,86.4,FALL
327,11.28,True,True,True,30,98.0,FALL
328,11.31,True,True,True,30,78.0,FALL
329,11.34,True,True,True,30,96.5,FALL
330,11.38,True,True,True,30,98.4,FALL
331,11.41,True,True,True,30,82.6,FALL
332,11.45,True,True,True,30,47.4,NORMAL
333,11.48,True,True,True,30,62.6,FALL
334,11.52,True,True,True,30,71.8,FALL
335,11.55,True,True,True,30,67.9,FALL
336,11.59,True,True,True,30,29.5,NORMAL
337,11.62,True,True,True,30,75.7,FALL
338,11.66,True,True,True,30,19.1,NORMAL
339,11.69,True,True,True,30,4.4,NORMAL
340,11.72,True,True,True,30,0.1,NORMAL
341,11.76,True,True,True,30,14.5,NORMAL
342,11.79,True,True,True,30,2.5,NORMAL
343,11.83,True,True,True,30,2.8,NORMAL
344,11.86,True,True,True,30,0.5,NORMAL
345,11.90,True,True,True,30,10.8,NORMAL
346,11.93,True,True,True,30,0.3,NORMAL
347,11.97,True,True,True,30,0.4,NORMAL
348,12.00,True,True,True,30,0.1,NORMAL
349,12.03,True,True,True,30,0.3,NORMAL
350,12.07,True,True,True,30,1.8,NORMAL
351,12.10,True,True,True,30,1.4,NORMAL
352,12.14,True,True,True,30,0.6,NORMAL
353,12.17,True,True,True,30,0.6,NORMAL
354,12.21,True,True,True,30,1.0,NORMAL
355,12.24,True,True,True,30,0.8,NORMAL
356,12.28,True,True,True,30,0.4,NORMAL
357,12.31,True,True,True,30,0.4,NORMAL
358,12.34,True,True,True,30,0.7,NORMAL
359,12.38,True,True,True,30,1.2,NORMAL
360,12.41,True,True,True,30,2.1,NORMAL
361,12.45,True,True,True,30,2.7,NORMAL
362,12.48,True,True,True,30,7.0,NORMAL
363,12.52,True,True,True,30,5.4,NORMAL
364,12.55,True,True,True,30,4.0,NORMAL
365,12.59,True,True,True,30,5.5,NORMAL
366,12.62,True,True,True,30,7.2,NORMAL
367,12.66,True,True,True,30,6.3,NORMAL
368,12.69,True,True,True,30,7.3,NORMAL
369,12.72,True,True,True,30,7.6,NORMAL
370,12.76,True,True,True,30,8.9,NORMAL
371,12.79,True,True,True,30,36.0,NORMAL
372,12.83,True,True,True,30,48.0,NORMAL
373,12.86,True,True,True,30,65.9,FALL
374,12.90,False,False,False,30,0.0,NORMAL
375,12.93,True,True,True,30,41.7,NORMAL
376,12.97,True,True,True,30,68.9,FALL
377,13.00,True,True,True,30,79.1,FALL
378,13.03,False,False,False,30,0.0,NORMAL
379,13.07,True,True,True,30,92.7,FALL
380,13.10,False,False,False,30,0.0,NORMAL
381,13.14,False,False,False,30,0.0,NORMAL
382,13.17,False,False,False,30,0.0,NORMAL
383,13.21,False,False,False,30,0.0,NORMAL
384,13.24,False,False,False,30,0.0,NORMAL
385,13.28,False,False,False,30,0.0,NORMAL
386,13.31,False,False,False,30,0.0,NORMAL
387,13.34,False,False,False,30,0.0,NORMAL
388,13.38,False,False,False,30,0.0,NORMAL
389,13.41,False,False,False,30,0.0,NORMAL
390,13.45,False,False,False,30,0.0,NORMAL
391,13.48,False,False,False,30,0.0,NORMAL
392,13.52,False,False,False,30,0.0,NORMAL
393,13.55,False,False,False,30,0.0,NORMAL
394,13.59,False,False,False,30,0.0,NORMAL
395,13.62,False,False,False,30,0.0,NORMAL
396,13.66,False,False,False,30,0.0,NORMAL
397,13.69,False,False,False,30,0.0,NORMAL
398,13.72,False,False,False,30,0.0,NORMAL
399,13.76,False,False,False,30,0.0,NORMAL
400,13.79,False,False,False,30,0.0,NORMAL
401,13.83,False,False,False,30,0.0,NORMAL
402,13.86,False,False,False,30,0.0,NORMAL
403,13.90,False,False,False,30,0.0,NORMAL
404,13.93,False,False,False,30,0.0,NORMAL
405,13.97,False,False,False,30,0.0,NORMAL
406,14.00,False,False,False,30,0.0,NORMAL
407,14.03,False,False,False,30,0.0,NORMAL
408,14.07,False,False,False,30,0.0,NORMAL
409,14.10,False,False,False,30,0.0,NORMAL
410,14.14,False,False,False,30,0.0,NORMAL
